       job_description_hash       | count 
 0924982149eba319693555839c1147ab |   190
 ab741ddf403e2c1c2ea2bfa5b3cbce06 |   187
 ac89a0aa2041230c8974258d9ba4eaca |   187
 be77b7393a3afbbb2d893df6d0c444a1 |   183
 43961b7f54b8bff2a006267febe01a5e |   182
 1f3fe9e8d49e83c182f4794e2c7d2f54 |   180
 62b328837716898b16b1c9c2e0ae8b48 |   179
 ec2eb9b75fcc9098ccc358c2bb3e908d |   178
 5ec80e08ab57ae83fd490e4ef5feb4e4 |   177
 30ee781014f0cb4e6d44d8611f88182f |   176
 b111fa65d9e5d84b7f766c61487bf94c |   175
 cd2a5d0b7f7d82476809587c74b73306 |   175
 b6e5e73389ad5af4865ebd3b2ec5dc8e |   173
 6f2ec27fb977f5d98f5299e4e32a94d0 |   172
 0c43be5aedfa22113172613fcebf1961 |   170
 ae9674155da8e6384e8e4602a0084919 |   170
 e43af587a0dec5d454cc08b55b7ffc9d |   170
 835b2fb7504c1b4683201f643cf927a6 |   169
 a4cf329b20c13f73ffd3b86ddac52310 |   168
 66396e37cde70525054b20ad51c3a9c1 |   168
 0d1758ccacf19025a465a7ae43a3d4ef |   165
 7ac300ff3ac4bb2b431762711a0221c1 |   162
 ee8cd9770b86f8c8f921c2158eeadd8a |   162
 88e5903fec5f1e61749079fe5b8ebc7d |   161
 8f9557d8e1406ebb4ccf497952ddfe0a |   159
 7bda8196482b06eab855c8c391be8f19 |   159
 79d80ae4f0cad7e92c756a99ac5f7f48 |   158
 9e33ad74062bcd9bda10c97ee477a4c9 |   157
 685d96393af6eb9586c52124ef483092 |   156
 e2d8e9bce1ad6d7ca42a0bbdb908396f |   154
 8c4ec366ef76730fc709895040904a15 |   153
 ae0bd2dc97dd9bba712f6f025c96b8b2 |   153
 2384107f4e555f8fe63598ef0d5b9d03 |   153
 75974c1000448e6b618b28804bcffff3 |   150
 f10ee7dec752f252051fd1944902a30c |   150
 e5c07a87d7321c5750bf156aa3838347 |   147
 42c05adcb6dadc0739aca3066e057c7f |   147
 7b2b594843096c37e3e5e919d8a173d3 |   146
 8ed4167b24accd2ee9a1e4eae5cd88bd |   145
 e5a9e83cd4b396fb7cd5a842a544748d |   144
 1ee9969d8997aa5604d09b27300c9bd9 |   144
 52aaf2c71f92bb0d0804e515ca036872 |   143
 38d96dabe757ea4c09ddeef7f034481c |   140
 ff07971d2ee496c15861d7e6e205b15c |   140
 634e13c926ff435eb4cae9ff42b56c03 |   137
 ea8a85317fbc8e66731b33ff8f114124 |   137
 c895522ea550fa70cb392a3d96a877ea |   137
 cc3d24a1d372a9ec143737b63112d74d |   134
 4d2b83f68e9d43d609c1babd6a12423b |   134
 27baf1d7f5792f7084431630213a088a |   133
 7cf903d3e23f0ae9bad7b3b706ca5cbe |   133
 68e6c732eba9aae898fc32fbf65ca39d |   131
 f57669c498c562430178828be4e0b0e3 |   131
 94356d94dbf784374fced89532e4a0f7 |   130
 98e0d37e0c479abb01335100e131ab31 |   130
 0e1691b733b9fbdc10462ad34f737f03 |   130
 36857ab338e1831ea31f0a484caad17b |   129
 f7c10b4387ff44b0b001873fc26047bf |   129
 fee4557eacd5037af0c14c1797cf8804 |   129
 d8981bbf27bc110bb50d499a3a77ae8c |   129
 50ae83c2aace12e58e1f6aecd88f452c |   126
 f60a472e80f24c41917aa70386483814 |   124
 9dc59219b5b03a4ac80dbc9e8414a157 |   123
 499a7bd39b05577d50de489db9ef8feb |   123
 17fd76716dd5d3ab096fd07d0e4be03a |   121
 10908665c6e64f166ca7770a0a0a2d43 |   121
 6f362c27a09d411c305e7b80fddddafb |   121
 cebe1aedba858d026aecf14a08c2c4fb |   121
 ca611da318194ca3227606a036bde6c9 |   120
 a4129cca6a7c371aa86bd8ee4beb9408 |   120
 3809dcfb4ef358427ec0cc981035fa1d |   120
 13edaa754d6737f4ccfacecf06adee40 |   119
